Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-07-24T11:59:00.000,1434.39,1432.4,1434.83,1431.64
2020-07-24T11:58:00.000,1431.84,1434.83,1435.01,1431.42
2020-07-24T11:57:00.000,1429.83,1431.04,1431.5,1429.19
2020-07-24T11:56:00.000,1426.95,1430.29,1430.99,1426.7
2020-07-24T11:55:00.000,1427.4,1426.0,1427.68,1425.5
2020-07-24T11:54:00.000,1428.77,1427.2,1428.78,1425.34
2020-07-24T11:53:00.000,1431.05,1428.0,1432.38,1428.0
2020-07-24T11:52:00.000,1430.67,1432.22,1433.0,1430.07
2020-07-24T11:51:00.000,1431.2,1430.3,1433.1,1428.04
2020-07-24T11:50:00.000,1432.36,1430.13,1433.3,1428.65
2020-07-24T11:49:00.000,1430.82,1431.86,1433.23,1430.41
2020-07-24T11:48:00.000,1435.8,1431.0,1436.13,1431.0
2020-07-24T11:47:00.000,1439.33,1436.03,1439.54,1435.34
2020-07-24T11:46:00.000,1438.95,1439.03,1439.94,1436.99
2020-07-24T11:45:00.000,1437.0,1439.4,1439.53,1436.99
2020-07-24T11:44:00.000,1437.07,1437.69,1439.19,1436.5
2020-07-24T11:43:00.000,1440.2,1437.0,1440.57,1436.99
2020-07-24T11:42:00.000,1440.6,1440.87,1441.53,1440.02
2020-07-24T11:41:00.000,1441.79,1441.29,1442.65,1440.42
2020-07-24T11:40:00.000,1440.65,1442.0,1442.16,1439.34
2020-07-24T11:39:00.000,1437.88,1440.19,1441.59,1437.87
2020-07-24T11:38:00.000,1440.23,1437.74,1440.74,1435.5
2020-07-24T11:37:00.000,1440.0,1439.58,1440.45,1438.16
2020-07-24T11:36:00.000,1437.38,1439.67,1440.22,1437.38
2020-07-24T11:35:00.000,1441.97,1437.96,1442.57,1436.99
2020-07-24T11:34:00.000,1444.39,1442.14,1445.0,1441.61
2020-07-24T11:33:00.000,1445.01,1444.96,1445.96,1444.01
2020-07-24T11:32:00.000,1447.41,1445.36,1448.0,1444.99
2020-07-24T11:31:00.000,1446.97,1447.37,1448.59,1446.22
2020-07-24T11:30:00.000,1450.22,1446.47,1450.37,1446.31
2020-07-24T11:29:00.000,1445.42,1450.64,1450.64,1444.42
2020-07-24T11:28:00.000,1444.77,1445.61,1446.28,1443.75
2020-07-24T11:27:00.000,1444.13,1444.9,1445.74,1443.83
2020-07-24T11:26:00.000,1440.78,1443.87,1444.68,1440.77
2020-07-24T11:25:00.000,1441.67,1441.25,1442.0,1440.27
2020-07-24T11:24:00.000,1440.11,1442.11,1442.88,1439.49
2020-07-24T11:23:00.000,1440.11,1439.49,1441.61,1438.56
2020-07-24T11:22:00.000,1440.55,1441.0,1442.0,1439.77
2020-07-24T11:21:00.000,1439.99,1439.63,1442.1,1439.0
2020-07-24T11:20:00.000,1438.73,1438.9,1439.96,1436.95
2020-07-24T11:19:00.000,1437.49,1438.95,1440.67,1437.0
2020-07-24T11:18:00.000,1444.5,1436.81,1445.0,1436.22
2020-07-24T11:17:00.000,1442.56,1444.56,1445.0,1442.31
2020-07-24T11:16:00.000,1446.22,1442.51,1446.73,1442.51
2020-07-24T11:15:00.000,1445.8,1445.0,1446.32,1444.0
2020-07-24T11:14:00.000,1445.26,1445.4,1446.44,1444.14
2020-07-24T11:13:00.000,1445.29,1444.94,1446.67,1443.96
2020-07-24T11:12:00.000,1446.49,1444.72,1446.54,1443.56
2020-07-24T11:11:00.000,1451.17,1446.56,1452.13,1446.36
2020-07-24T11:10:00.000,1449.03,1450.94,1451.28,1449.03
2020-07-24T11:09:00.000,1450.91,1449.33,1451.83,1449.33
2020-07-24T11:08:00.000,1446.59,1450.52,1450.99,1446.46
2020-07-24T11:07:00.000,1443.04,1446.36,1446.42,1441.92
