Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-01T15:50:00.000,446.88,447.81,448.8,446.88
2020-10-01T15:40:00.000,448.24,446.88,448.75,446.59
2020-10-01T15:30:00.000,447.04,448.2,448.88,446.4
2020-10-01T15:20:00.000,446.82,447.0,447.18,445.8
2020-10-01T15:10:00.000,446.11,446.84,447.03,445.15
2020-10-01T15:00:00.000,446.73,446.08,447.1,445.76
2020-10-01T14:50:00.000,445.59,446.7,447.26,445.55
2020-10-01T14:40:00.000,445.78,445.46,446.48,445.25
2020-10-01T14:30:00.000,446.03,445.79,446.5,444.64
2020-10-01T14:20:00.000,444.57,446.06,446.66,444.4
2020-10-01T14:10:00.000,443.31,444.51,445.25,443.2
2020-10-01T14:00:00.000,445.66,443.39,446.92,442.06
2020-10-01T13:50:00.000,447.36,445.57,447.58,445.2
2020-10-01T13:40:00.000,447.4,447.32,448.0,446.5
2020-10-01T13:30:00.000,445.72,447.39,447.5,445.26
2020-10-01T13:20:00.000,445.89,445.61,446.75,445.0
2020-10-01T13:10:00.000,447.38,445.98,447.7,445.57
2020-10-01T13:00:00.000,443.8,447.36,447.5,443.68
2020-10-01T12:50:00.000,444.52,443.79,445.0,443.18
2020-10-01T12:40:00.000,442.31,444.65,444.65,441.24
2020-10-01T12:30:00.000,440.51,442.27,442.44,439.99
2020-10-01T12:20:00.000,440.01,440.52,440.69,439.52
2020-10-01T12:10:00.000,438.76,439.94,440.3,438.4
2020-10-01T12:00:00.000,438.89,438.75,439.0,437.73
2020-10-01T11:50:00.000,438.79,438.88,439.63,438.58
2020-10-01T11:40:00.000,439.7,438.81,440.0,438.41
2020-10-01T11:30:00.000,439.78,439.58,440.2,439.01
2020-10-01T11:20:00.000,438.45,439.76,440.52,438.29
2020-10-01T11:10:00.000,437.76,438.45,438.82,437.1
2020-10-01T11:00:00.000,436.8,437.78,438.43,435.43
2020-10-01T10:50:00.000,435.14,436.81,437.06,435.0
2020-10-01T10:40:00.000,436.8,435.21,436.93,434.82
2020-10-01T10:30:00.000,435.51,436.85,437.4,435.0
2020-10-01T10:20:00.000,436.46,435.65,437.1,434.42
2020-10-01T10:10:00.000,438.07,436.47,438.7,435.18
2020-10-01T10:00:00.000,437.0,438.2,438.54,436.25
2020-10-01T09:50:00.000,439.64,437.1,439.73,436.23
2020-10-01T09:40:00.000,437.06,439.74,439.75,436.75
2020-10-01T09:30:00.000,440.76,437.18,441.8,436.71
